group_name,side,neuron_count,root_ids
antennal,left,5,720575940610792290 720575940621351412 720575940623473335 720575940629183643 720575940639021757
antennal,right,5,720575940611008718 720575940615596850 720575940620982966 720575940622235930 720575940637662697
crop,left,4,720575940620008112 720575940624554170 720575940625799513 720575940640681680
crop,right,4,720575940620553654 720575940621126384 720575940621169690 720575940628781333
eye,left,2,720575940618519710 720575940622361270
eye,right,2,720575940622168052 720575940630139386
haustellum,left,2,720575940630580854 720575940647474979
haustellum,right,2,720575940623993015 720575940645528430
ingestion,left,13,720575940610679876 720575940613935535 720575940615197747 720575940618165019 720575940618238523 720575940618539810 720575940622137633 720575940622810153 720575940623390246 720575940632281927 720575940636165624 720575940646274670 720575940648804217
ingestion,right,15,720575940620025620 720575940624967612 720575940626939737 720575940628096586 720575940628743752 720575940629778554 720575940630233404 720575940630868793 720575940631999080 720575940632304711 720575940635360924 720575940644726432 720575940645527918 720575940660219265 720575940661338497
neck,left,13,720575940608078347 720575940622008560 720575940624117528 720575940624679463 720575940624943084 720575940628372613 720575940629464582 720575940632898105 720575940633710756 720575940635776760 720575940636044143 720575940640640061 720575940641811419
neck,right,13,720575940605287358 720575940607641010 720575940607880578 720575940616570966 720575940620182181 720575940623457535 720575940624327572 720575940624342569 720575940628164612 720575940631023099 720575940631715896 720575940634813536 720575940650119289
on_nerve,left,2,720575940620595393 720575940623620425
on_nerve,right,2,720575940635261838 720575940648375161
proboscis,left,12,720575940614386070 720575940615500030 720575940616340639 720575940618600246 720575940619682368 720575940621586854 720575940623352063 720575940625612474 720575940627410451 720575940628998659 720575940630865724 720575940633185567
proboscis,right,12,720575940607193986 720575940612888178 720575940614734754 720575940617403622 720575940623415849 720575940626094350 720575940628826128 720575940628997123 720575940629561347 720575940629810748 720575940629936348 720575940645697828
salivary,left,1,720575940633195148
salivary,right,1,720575940623137818
